FZ 3027	FZ 3027	23/09/2026	14:45	14:45		SINDH (KHI)	International	Scheduled	 Detail
FZ 829	FZ 829	23/09/2026	14:45	14:45	 F10	MAKKAH (JED)	International	Scheduled	 Detail
IX 432	IX 432	23/09/2026	14:45	14:45	 F3	KERALA (COK)	International	Scheduled	 Detail
EK 546	EK 546	23/09/2026	14:50	14:50	 A15	TAMIL NADU (MAA)	International	Scheduled	 Detail
EK 37	EK 37	23/09/2026	14:55	14:55	 A9	ENGLAND (BHX)	International	Scheduled	 Detail
EK 857	EK 857	23/09/2026	14:55	14:55	 C7	AL FARWANIYAH (KWI)	International	Scheduled	 Detail
EK 9	EK 9	23/09/2026	14:55	14:55	 A23	ENGLAND (LGW)	International	Scheduled	 Detail
EK 528	EK 528	23/09/2026	15:00	15:00	 A8	TELANGANA (HYD)	International	Scheduled	 Detail
EK 61	EK 61	23/09/2026	15:00	15:00	 C5	HAMBURG (HAM)	International	Scheduled	 Detail
EK 163	EK 163	23/09/2026	15:10	15:10	 A20	LEINSTER (DUB)	International	Scheduled	 Detail
EK 809	EK 809	23/09/2026	15:10	15:10	 A14	AL MADINAH AL MUNAWWARAH (MED)	International	Scheduled	 Detail
EK 23	EK 23	23/09/2026	15:15	15:15	 B22	SCOTLAND (EDI)	International	Scheduled	 Detail
EK 51	EK 51	23/09/2026	15:15	15:15	 B8	BAVARIA (MUC)	International	Scheduled	 Detail
EK 85	EK 85	23/09/2026	15:15	15:15	 A22	ZURICH (ZRH)	International	Scheduled	 Detail
EK 923	EK 923	23/09/2026	15:15	15:15	 B32	CAIRO (CAI)	International	Scheduled	 Detail
FZ 881	FZ 881	23/09/2026	15:15	15:15	 F8	MINTAQAT TABUK (TUU)	International	Scheduled	 Detail
FZ 1855	FZ 1855	23/09/2026	11:20	15:20	 B1	ALMATY OBLYSY (ALA)	International	Scheduled	 Detail
EK 131	EK 131	23/09/2026	15:20	15:20	 C2	MOSKOVSKAYA (DME)	International	Scheduled	 Detail
EK 47	EK 47	23/09/2026	15:20	15:20	 A4	HESSE (FRA)	International	Scheduled	 Detail
FZ 975	FZ 975	23/09/2026	15:20	15:20	 F10	MOSKOVSKAYA (VKO)	International	Scheduled	 Detail
EK 514	EK 514	23/09/2026	15:25	15:25	 A2	HARYANA (DEL)	International	Scheduled	 Detail
AI 4210	AI 4210	23/09/2026	15:30	15:30	 D2	HARYANA (DEL)	International	Scheduled	 Detail
FZ 63	FZ 63	23/09/2026	15:30	15:30	 F5	AL FARWANIYAH (KWI)	International	Scheduled	 Detail
EK 91	EK 91	23/09/2026	15:35	15:35	 C22	LOMBARDY (MXP)	International	Scheduled	 Detail
EK 5	EK 5	23/09/2026	15:40	15:40	 B15	ENGLAND (LHR)	International	Scheduled	 Detail
EK 803	EK 803	23/09/2026	15:45	15:45	 A12	MAKKAH (JED)	International	Scheduled	 Detail
EK 95	EK 95	23/09/2026	15:45	15:45	 C23	LATIUM (FCO)	International	Scheduled	 Detail
FZ 1781	FZ 1781	23/09/2026	15:45	15:45	 B1	CENTRAL BOHEMIA (PRG)	International	Scheduled	 Detail
FZ 647	FZ 647	23/09/2026	15:45	15:45	 F9	ADIS ABEBA (ADD)	International	Scheduled	 Detail
FZ 17	FZ 17	23/09/2026	15:50	15:50	 F11	BALADIYAT AD DAWHAH (DOH)	International	Scheduled	 Detail
QB 2211	QB 2211	23/09/2026	15:50	15:50	 F2	TEHRAN (IKA)	International	Scheduled	 Detail
EK 721	EK 721	23/09/2026	15:55	15:55	 C20	NAIROBI AREA (NBO)	International	Scheduled	 Detail
IS 7353	IS 7353	23/09/2026	15:55	15:55	 F3	TEHRAN (IKA)	International	Scheduled	 Detail
EK 508	EK 508	23/09/2026	16:00	16:00	 B18	MAHARASHTRA (BOM)	International	Scheduled	 Detail
EK 839	EK 839	23/09/2026	16:00	16:00	 B29	MUHARRAQ (BAH)	International	Scheduled	 Detail
FZ 1125	FZ 1125	23/09/2026	16:00	16:00	 C15	CENTRAL DISTRICT (TLV)	International	Scheduled	 Detail
SV 559	SV 559	23/09/2026	16:00	16:00	 D14	AR RIYAD (RUH)	International	Scheduled	 Detail
FZ 997	FZ 997	23/09/2026	16:05	16:05	 F12	SVERDLOVSK (SVX)	International	Scheduled	 Detail
SU 521	SU 521	23/09/2026	16:05	16:05	 D3	MOSCOW (SVO)	International	Scheduled	 Detail
FZ 211	FZ 211	23/09/2026	16:10	16:10	 F8	MAYORALITY OF BAGHDAD (BGW)	International	Scheduled	 Detail
