2U 2901	2U 2901	23/09/2026	10:45	10:45		SURXONDARYO (TMJ)	International	Scheduled	 Detail
TK 2221	TK 2221	23/09/2026	10:40	10:46		GAZIANTEP (GZT)	Domestic	Active	 Detail
TK 3307	TK 3307	23/09/2026	10:50	10:50		SAMSUN (SZF)	Domestic	Active	 Detail
VF 3337	VF 3337	23/09/2026	10:50	10:50		TRABZON (TZX)	Domestic	Active	 Detail
TK 2537	TK 2537	23/09/2026	10:50	10:52		RIZE–ARTVIN AIRPORT (RZV)	Domestic	Active	 Detail
TK 2603	TK 2603	23/09/2026	10:50	10:53		DIYARBAKIR (DIY)	Domestic	Active	 Detail
SV 265	SV 265	23/09/2026	10:55	10:56		MAKKAH (JED)	International	Active	 Detail
TK 717	TK 717	23/09/2026	10:45	10:57		HARYANA (DEL)	International	Active	 Detail
UD 161	UD 161	23/09/2026	08:00	11:00		MAYORALITY OF BAGHDAD (BGW)	International	Canceled	 Detail
A4 5069	A4 5069	23/09/2026	09:00	11:00		KRASNODARSKIY (AER)	International	Scheduled	 Detail
HY 271	HY 271	23/09/2026	11:00	11:00		TOSHKENT SHAHRI (TAS)	International	Active	 Detail
PC 1981	PC 1981	23/09/2026	11:00	11:00		LEFKOSIA (ECN)	International	Scheduled	 Detail
PC 2503	PC 2503	23/09/2026	11:00	11:00		VAN (VAN)	Domestic	Scheduled	 Detail
TK 1598	TK 1598	23/09/2026	11:00	11:00		HESSE (FRA)	International	Canceled	 Detail
TK 3349	TK 3349	23/09/2026	11:00	11:00		VAN (VAN)	Domestic	Active	 Detail
VF 3171	VF 3171	23/09/2026	11:00	11:00		KAYSERI (ASR)	Domestic	Scheduled	 Detail
VF 3265	VF 3265	23/09/2026	11:00	11:00		MARDIN (MQM)	Domestic	Active	 Detail
VF 341	VF 341	23/09/2026	11:00	11:00		ALEPPO (ALP)	International	Active	 Detail
TK 1638	TK 1638	23/09/2026	11:00	11:01		BAVARIA (MUC)	International	Active	 Detail
TK 1028	TK 1028	23/09/2026	11:05	11:05		SOFIA-CAPITAL (SOF)	International	Scheduled	 Detail
TK 1044	TK 1044	23/09/2026	11:05	11:05		ILFOV (OTP)	International	Scheduled	 Detail
TK 2705	TK 2705	23/09/2026	11:05	11:05		ERZURUM (ERZ)	Domestic	Active	 Detail
